#epsp #epsq #p #q #epsev #epses #Tg #pd #qd #e #t 
0.00000e+00 2.43000e-02 6.04066e+01 3.53988e+01 3.86047e-02 1.06765e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1215.00000000 
0.00000e+00 2.44000e-02 6.03622e+01 3.54414e+01 3.85832e-02 1.06953e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1220.00000000 
0.00000e+00 2.45000e-02 6.03182e+01 3.54837e+01 3.85619e-02 1.07140e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1225.00000000 
0.00000e+00 2.46000e-02 6.02746e+01 3.55258e+01 3.85408e-02 1.07326e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1230.00000000 
0.00000e+00 2.47000e-02 6.02315e+01 3.55677e+01 3.85198e-02 1.07511e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1235.00000000 
0.00000e+00 2.48000e-02 6.01889e+01 3.56093e+01 3.84990e-02 1.07695e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1240.00000000 
0.00000e+00 2.49000e-02 6.01467e+01 3.56508e+01 3.84784e-02 1.07878e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1245.00000000 
0.00000e+00 2.50000e-02 6.01049e+01 3.56919e+01 3.84579e-02 1.08060e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1250.00000000 
0.00000e+00 2.51000e-02 6.00636e+01 3.57329e+01 3.84376e-02 1.08241e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1255.00000000 
0.00000e+00 2.52000e-02 6.00227e+01 3.57737e+01 3.84174e-02 1.08422e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1260.00000000 
0.00000e+00 2.53000e-02 5.99822e+01 3.58142e+01 3.83974e-02 1.08601e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1265.00000000 
0.00000e+00 2.54000e-02 5.99421e+01 3.58545e+01 3.83776e-02 1.08779e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1270.00000000 
0.00000e+00 2.55000e-02 5.99025e+01 3.58946e+01 3.83579e-02 1.08957e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1275.00000000 
0.00000e+00 2.56000e-02 5.98633e+01 3.59344e+01 3.83384e-02 1.09133e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1280.00000000 
0.00000e+00 2.57000e-02 5.98245e+01 3.59741e+01 3.83190e-02 1.09309e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1285.00000000 
0.00000e+00 2.58000e-02 5.97861e+01 3.60135e+01 3.82998e-02 1.09484e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1290.00000000 
0.00000e+00 2.59000e-02 5.97481e+01 3.60528e+01 3.82807e-02 1.09657e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1295.00000000 
0.00000e+00 2.60000e-02 5.97105e+01 3.60918e+01 3.82618e-02 1.09830e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1300.00000000 
0.00000e+00 2.61000e-02 5.96733e+01 3.61306e+01 3.82430e-02 1.10002e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1305.00000000 
0.00000e+00 2.62000e-02 5.96365e+01 3.61692e+01 3.82244e-02 1.10173e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1310.00000000 
0.00000e+00 2.63000e-02 5.96001e+01 3.62076e+01 3.82060e-02 1.10344e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1315.00000000 
0.00000e+00 2.64000e-02 5.95641e+01 3.62459e+01 3.81877e-02 1.10513e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1320.00000000 
0.00000e+00 2.65000e-02 5.95285e+01 3.62839e+01 3.81695e-02 1.10682e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1325.00000000 
0.00000e+00 2.66000e-02 5.94933e+01 3.63217e+01 3.81515e-02 1.10849e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1330.00000000 
0.00000e+00 2.67000e-02 5.94584e+01 3.63593e+01 3.81336e-02 1.11016e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1335.00000000 
0.00000e+00 2.68000e-02 5.94240e+01 3.63968e+01 3.81159e-02 1.11182e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1340.00000000 
0.00000e+00 2.69000e-02 5.93899e+01 3.64340e+01 3.80983e-02 1.11347e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1345.00000000 
0.00000e+00 2.70000e-02 5.93562e+01 3.64710e+01 3.80809e-02 1.11511e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1350.00000000 
0.00000e+00 2.71000e-02 5.93228e+01 3.65079e+01 3.80636e-02 1.11675e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1355.00000000 
